date,precipitation,city,quarter,year,month,cumulative_month,cumulative_quarter
2021-03-10,0.006,Seattle,1,2021,3,14,4
2021-03-11,0.0,Seattle,1,2021,3,14,4
2021-03-12,0.0,Seattle,1,2021,3,14,4
2021-03-13,0.0,Seattle,1,2021,3,14,4
2021-03-14,0.0725,Seattle,1,2021,3,14,4
2021-03-15,0.292,Seattle,1,2021,3,14,4
2021-03-16,0.0025,Seattle,1,2021,3,14,4
2021-03-17,0.0,Seattle,1,2021,3,14,4
2021-03-18,0.035,Seattle,1,2021,3,14,4
2021-03-19,0.2,Seattle,1,2021,3,14,4
2021-03-20,0.21,Seattle,1,2021,3,14,4
2021-03-21,0.2,Seattle,1,2021,3,14,4
2021-03-22,0.20800000000000002,Seattle,1,2021,3,14,4
2021-03-23,0.10400000000000001,Seattle,1,2021,3,14,4
2021-03-24,0.01,Seattle,1,2021,3,14,4
2021-03-25,0.6125,Seattle,1,2021,3,14,4
2021-03-26,0.016666666666666666,Seattle,1,2021,3,14,4
2021-03-27,0.0,Seattle,1,2021,3,14,4
2021-03-28,0.0,Seattle,1,2021,3,14,4
2021-03-29,0.29400000000000004,Seattle,1,2021,3,14,4
2021-03-30,0.005,Seattle,1,2021,3,14,4
2021-03-31,0.0,Seattle,1,2021,3,14,4
2021-04-01,0.0,Seattle,2,2021,4,15,5
2021-04-02,0.0,Seattle,2,2021,4,15,5
2021-04-03,0.0,Seattle,2,2021,4,15,5
2021-04-04,0.052500000000000005,Seattle,2,2021,4,15,5
2021-04-05,0.007500000000000001,Seattle,2,2021,4,15,5
2021-04-06,0.0,Seattle,2,2021,4,15,5
2021-04-07,0.0,Seattle,2,2021,4,15,5
2021-04-08,0.146,Seattle,2,2021,4,15,5
2021-04-09,0.0025,Seattle,2,2021,4,15,5
2021-04-10,0.034,Seattle,2,2021,4,15,5
2021-04-11,0.0,Seattle,2,2021,4,15,5
2021-04-12,0.0,Seattle,2,2021,4,15,5
2021-04-13,0.0,Seattle,2,2021,4,15,5
2021-04-14,0.0,Seattle,2,2021,4,15,5
2021-04-15,0.0,Seattle,2,2021,4,15,5
2021-04-16,0.0,Seattle,2,2021,4,15,5
2021-04-17,0.0,Seattle,2,2021,4,15,5
2021-04-18,0.0,Seattle,2,2021,4,15,5
2021-04-19,0.0,Seattle,2,2021,4,15,5
2021-04-20,0.0,Seattle,2,2021,4,15,5
2021-04-21,0.0,Seattle,2,2021,4,15,5
2021-04-22,0.0,Seattle,2,2021,4,15,5
2021-04-23,0.0,Seattle,2,2021,4,15,5
